City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,wailua homesteads,22.0669,-159.378,26.44,82,0,4.63,US,1740007591
83,sola,-13.8833,167.55,26.95,78,100,4.75,VU,1740007592
84,ola,59.5833,151.2833,-12.95,76,100,4.72,RU,1740007593
85,melo,-32.3667,-54.1833,22.84,65,28,6.32,UY,1740007595
86,tailai,46.3833,123.4,-19.69,87,94,3.1,CN,1740007597
87,fale old settlement,-9.3852,-171.2468,28.65,69,90,8.39,TK,1740007598
88,arteche,12.2645,125.4048,24.49,96,100,5.41,PH,1740007599
89,atafu village,-8.5421,-172.5159,28.54,69,84,7.73,TK,1740007600
90,al qubbah,32.7616,22.2424,8.65,87,31,5.41,LY,1740007601
91,lazaro cardenas,17.9583,-102.2,27.2,67,100,2.58,MX,1740007603
92,saint-philippe,-21.3585,55.7679,25.91,78,94,3.81,RE,1740007604
93,sombrerete,23.6333,-103.65,20.65,17,28,3.62,MX,1740007605
94,fengcheng,40.4536,124.0717,-12.42,78,2,1.49,CN,1740007606
95,haiku-pauwela,20.9219,-156.3051,27.25,67,20,9.83,US,1740007607
96,lihue,21.9789,-159.3672,26.77,74,0,4.63,US,1740007608
97,ust-nera,64.5667,143.2,-30.68,98,94,0.71,RU,1740007609
98,aykhal,66.0,111.5,-21.98,98,64,1.82,RU,1740007610
99,hawaiian paradise park,19.5933,-154.9731,26.6,71,100,6.17,US,1740007611
100,lata,40.1629,-8.3327,11.72,92,100,0.31,PT,1740007612
101,lebu,-37.6167,-73.65,14.88,82,0,4.65,CL,1740007614
102,maragogi,-9.0122,-35.2225,26.18,75,6,3.27,BR,1740007616
103,bredasdorp,-34.5322,20.0403,19.15,81,82,3.14,ZA,1740007617
104,taunggyi,20.7833,97.0333,11.66,45,0,1.14,MM,1740007618
105,kolokani,13.5728,-8.0339,26.96,17,71,4.09,ML,1740007619
106,fonte boa,-2.4959,-66.2662,22.99,97,100,0.68,BR,1740007620
107,santa cruz,-17.8,-63.1667,25.03,88,75,5.14,BO,1740007579
108,kailua-kona,19.6406,-155.9956,26.27,82,4,2.68,US,1740007623
109,walvis bay,-22.9575,14.5053,18.53,88,11,2.06,NA,1740007624
110,mahina,-17.5065,-149.489,30.87,66,75,7.2,PF,1740007625
111,broome,42.2506,-75.833,-7.41,73,100,3.6,US,1740007626
112,mossendjo,-2.9506,12.7261,21.45,98,83,1.3,CG,1740007627
113,medina,24.4686,39.6142,20.24,17,0,4.12,SA,1740007628
114,st. john's,47.5649,-52.7093,2.21,92,75,4.63,CA,1740007631
115,constantia,44.1833,28.65,-4.61,72,9,4.86,RO,1740007632
116,dul'durga,50.6761,113.5931,-25.56,97,30,1.9,RU,1740007633
117,tura,25.5198,90.2201,16.47,43,21,1.78,IN,1740007634
118,alice springs,-23.7,133.8833,26.75,12,5,2.57,AU,1740007635
119,bereket,39.2446,55.5154,6.77,64,32,4.91,TM,1740007636
120,boda,4.3189,17.4695,24.92,53,67,0.67,CF,1740007637
121,alamosa,37.4695,-105.87,7.99,19,0,2.06,US,1740007638
122,peace river,56.2501,-117.286,-15.83,55,40,1.54,CA,1740007639
123,palmer,42.1584,-72.3287,-5.25,54,40,5.14,US,1740007641
124,baley,51.6,116.6333,-31.34,100,73,0.44,RU,1740007642
125,bamako,12.65,-8.0,29.23,23,67,2.06,ML,1740007643
126,tara,56.8944,74.371,-12.75,92,100,2.5,RU,1740007644
127,la foa,-21.7108,165.8276,27.17,67,3,2.26,NC,1740007645
128,hadibu,12.65,54.0333,22.5,78,1,2.41,YE,1740007646
129,rawlins,41.7911,-107.2387,0.2,55,20,6.69,US,1740007647
130,troitsko-pechorsk,62.7084,56.1964,-13.72,93,100,4.67,RU,1740007648
131,melekeok village,7.4957,134.6367,27.31,83,100,4.12,PW,1740007649
132,callao,-12.0667,-77.15,23.16,78,20,3.6,PE,1740007651
133,saint-laurent-du-maroni,5.5039,-54.0289,24.09,84,92,2.36,GF,1740007652
134,vilyuchinsk,52.9306,158.4028,-0.85,79,100,3.24,RU,1740007653
135,west island,-12.1568,96.8225,25.99,89,100,0.0,CC,1740007654
136,san antonio de pale,-1.4014,5.6325,27.94,76,57,2.64,GQ,1740007655
137,santa marta,11.2408,-74.199,32.03,51,20,6.17,CO,1740007656
138,umm kaddadah,13.6017,26.6876,24.73,9,92,6.18,SD,1740007657
139,dudinka,69.4058,86.1778,-23.38,94,9,6.11,RU,1740007418
140,port saint john's,-31.6229,29.5448,21.57,89,100,4.3,ZA,1740007659
141,udachny,66.4167,112.4,-27.26,99,51,1.64,RU,1740007661
142,port hedland,-20.3167,118.5667,28.03,89,72,0.0,AU,1740007663
143,mount isa,-20.7333,139.5,29.87,37,27,1.54,AU,1740007664
144,qaqortoq,60.7167,-46.0333,0.38,65,100,3.61,GL,1740007665
145,duong dong,10.2167,103.9667,24.0,94,20,0.51,VN,1740007666
146,harstad,68.799,16.5293,0.09,93,97,2.68,NO,1740007667
147,velyka oleksandrivka,47.3197,33.3037,-7.73,83,7,2.01,UA,1740007668
148,qamdo,31.1667,97.2333,-7.9,73,15,2.13,CN,1740007669
149,champerico,14.3,-91.9167,28.65,66,76,4.74,GT,1740007670
150,wenchang,30.904,118.4887,6.57,82,98,5.42,CN,1740007672
151,chonchi,-42.6128,-73.8092,15.07,72,1,0.49,CL,1740007673
152,cafayate,-26.073,-65.9761,22.46,69,43,3.67,AR,1740007674
153,igarka,67.4667,86.5833,-25.67,100,100,3.65,RU,1740007675
